token,count_total,example_contexts,chapters_seen
mahalimuyac,1,Bumubulong ang kanilang mga labi ng mga salitang higuit ang cagandahang dingguin kay sa halishisan n...,22
pagbalican,1,; ngunit pagbalican natin ang ating mga kinabataan pakinggan natin ang wacas ng kanilang salitaan....,22
magbucang,1,"—Bucas, bago magbucang liwayway, magaganap ang hangad mo....",22
macasunod,1,¡Gawin mo ang bagay na ito sa isang parang howag sanang macasunod ang cura!...,22
Nacasasama,1,"Nacasasama sa akin ang canyang mga matang malalalim at malulungcot, pagka itinititig niya sa akin ay...",22
pagcaculang,1,"Sinasabi sa akin ng kaibigan kong si Sinang at saka ni Andeng na aking kapatid sa gatas, na siya'y m...",22
Catungculang,1,—Catungculang atang ito ng caugalian ng bayan; siya'y nasa bahay mo at bucod sa rito'y nag-ugaling m...,22
macasasama,1,Ngunit namamasid kong ikaw ay namumuhi; howag cang manimdim at hindi macasasama siya sa atin sa bang...,22
nacacahaguip,1,"—anya;—pagka nacacahaguip ng isang sipon, ay hindi bumibitiw kung di dumating ang tag-init....",22
pagcacalangcap,1,—Ipinalalagay kong carikitdikitan ang pagcacalangcap ng dalawang bahaguing ito ng taong hindi nanggu...,22
Mapanucsong,1,"—Mapanucsong totoo ang anyaya at ako'y napahihinuhod, upang sa inyo'y patotohanang hindi po ako nagt...",22
Ipagmacaawa,1,—¡Ipagmacaawa ko po sa inyo ang aking asawa at ang aking mga anak!...,22
macatiguil,1,"—Hindi ako macatiguil,—ang sagot ni Ibarra....",22
nacagagalac,1,"Numiningning pa ang mga bituin sa langit ""zafir"", at nangagugulaylay pa ang mga ibon sa mga sanga ng...",23
nagcacacapitcapit,1,"Sila'y limang mga batang dalagang nangagmamadali ng paglacad, na nagcacacapitcapit o nacayacap kaya ...",23
nangagcucurutan,1,"Nangagsasalitaan ng boong ligaya, nangagtatawanan, nangagcucurutan, nangag-aanasan at pacatapos nagh...",23
naghahalakhacan,1,"Nangagsasalitaan ng boong ligaya, nangagtatawanan, nangagcucurutan, nangag-aanasan at pacatapos nagh...",23
ipinagwiwica,1,—ang ipinagwiwica sa kanila ni tia Isabel;—ng kabataan namin ay hindi kami nagcacaingay ng ganyan....,23
nagcacaingay,1,—ang ipinagwiwica sa kanila ni tia Isabel;—ng kabataan namin ay hindi kami nagcacaingay ng ganyan....,23
napacamatuluguin,1,"—¡Marahil hindi naman kayo gumiguising ng maagang gaya namin, at marahil hindi naman napacamatulugui...",23
nangacalilimot,1,"Sandaling hindi sila nangagsasalita, pinagpipilitan kaya nilang magsalita ng marahahan; ngunit hindi...",23
Conowari,1,—Conowari magtampo ka; huwag mo siyang causapin!...,23
pacahigpit,1,—¡Howag mo pacahigpit naman!...,23
Nangagsisilacad,1,Nangagsisilacad silang hindi umiimic na tinutugtugan ng isang guitarra....,23
nacacapag,1,"Nang mag abot na ang dalawang pulutong, ang mga babae ay siyang nag-anyong hindi makibuin at matimti...",23
macaanim,1,"Nang mag abot na ang dalawang pulutong, ang mga babae ay siyang nag-anyong hindi makibuin at matimti...",23
macapagmimisa,1,"—Nasasapanahon pa, ginoong babae: si Albinong ng panahon niya'y naging ""seminarista,"" macapagmimisa ...",23
clavel,1,"Doo'y kanilang nakita ang dalawang bangcang nagcacacabit, na mainam ang pagcacagayac ng mga pinagtuh...",23
casuy,1,"Doo'y kanilang nakita ang dalawang bangcang nagcacacabit, na mainam ang pagcacagayac ng mga pinagtuh...",23
cogin,1,"Dinala roon ni Ibarra ang canyang alfombra, mga maririkit na panabing at mga cogin at ang lahat ng i...",23
Mangagcruz,1,—¡Mangagcruz muna kayo!...,23
caalon,1,Lumalayong untiunti ang mga bangca sa pasigan at naaanino ang ilaw ng mga farol sa salamin ng dagata...,23
nagcacabucod,1,"Naghahari ang malaking catahimican; ang mga binata't dalagang nagcacabucod-bucod, ayon sa calooban n...",23
pangsicsic,1,—ani Albinong seminarista ng sabing malacas sa isang capuwa binata;—yapacan mong magaling ang mga bu...,23
sicsic,1,Yapacan ninyong mabuti ang bunot na sicsic at ng hindi mabunglos....,23
pinagcayariang,1,"Sa pagka't hindi gumagalaw ng camunti man lamang ang tubig, hindi nalalayo ang mga baclad at saka to...",23
casinggaling,1,—¡Walang casinggaling ng salabat kung inumin kung umaga bago magsimba!...,23
cafeng,1,"—ani Sinang,—uminom kayo ng cafeng nacapagpapasaya ng calooban....",23
nacapagpapasaya,1,"—ani Sinang,—uminom kayo ng cafeng nacapagpapasaya ng calooban....",23
ganacacaramdam,1,"—Ngayon din, sa pagka't ganacacaramdam na ako ng calungcutan....",23
nacapagpapatahimic,1,—¡Huwag kayong uminom niyan—ang paalaala ni tia Isabel;—uminom kayo ng cha at cumain kayo ng galleta...,23
macaiinom,1,—¿Kung macaiinom naman ako ng chocolate?...,23
mapacalaon,1,Huwag lamang na mapacalaon bago mananghalian.......,23
nagcacaanino,1,"Maganda ang umaga: nagpapasimula na ng pagtinggad ang tubig, at sa liwanag na nanggagaling sa langit...",23
nangagagalac,1,"Halos nangagagalac ang lahat, sinasanghod nila ang mahinang amihang untiunting napupucaw; sampong an...",23
upac,1,"Di caguinsaguinsa'y dumarating na dala ng agos ang malilit na bancang upac ng saguing, na may lulang...",23
bumabalic,1,—¿At kung bumabalic na tayo sa bahay?...,23
pagcapiloto,1,"Isa lamang tao, ang gumaganap ng pagcapiloto, ang nananatili sa hindi pag-imic at hindi nakikisama s...",23
casucasuang,1,"Nahuhulog sa canyang malusog na liig ang canyang mga buhoc na maiitim, mahahaba at hindi inaalagaan;...",23
icucot,1,Hindi nacapagpapacunot ng alin mang bahagui ng canyang mukha ang masasayang tawanan at mga biruan ng...,23
macapagagahan,1,"Ipinagpatuloy ang kanilang pagparoon sa mga baclad, pagkatapos na macapagagahan....",23
pagcacaalayo,1,"Dalawa ang baclad na iyong natatayo sa catatagang pagcacaalayo, at capuwa pag-aari ni kapitang Tiago...",23
calaway,1,"—Hindi raw, po, ginoo, nakikita ang mga pugad ng mga ibong iyan, at taglay naman ang bisa na huwag m...",23
aacyat,1,"—ani tia Isabel sa anak na lalaki ng matandang talagang aacyat na sanang dala ang panaloc,—kinacaila...",23
pagcahiwalay,1,—ang biglang sinabi ng seminarista;—aayaw na susumandali ma'y damdamin ng isda ang pagcahiwalay sa t...,23
camias,1,"Naghanda ng hugas-bigas, mga camatis at camias, at tinutulungan o inaabala kaya siya ng ilang marahi...",23
casinghahaba,1,"Linilinis ng mga dalaga ang mga talbos ng calabaza, hinihimay ang mga patani at pinapuputolputol ang...",23
Cantahin,1,"—¡Cantahin mo, Victoria, ""Ang cancion ng Matrimonio""!...",23
napapamanhic,1,"Hindi na siya napapamanhic; tinangnan ang arpa, tumugtog ng isang ""preludio"" o pangunahin at cumanta...",23
cumantang,1,"Hindi na siya napapamanhic; tinangnan ang arpa, tumugtog ng isang ""preludio"" o pangunahin at cumanta...",23
pumalacpac,1,"Natapos ang voces, huminto, napipi ang arpa, at gayon ma'y nagsisipanatili sa pakikinig; sino ma'y w...",23
Sackingen,1,"—¡Tunay nga, ang trompetero sa Sackingen!...",23
cacucurot,1,Sa gayo'y nagcaroon nga ng caunting caguluhan; siya'y pinahimpil ng mga ina sa cahahampas ng chinela...,23
nacahanda,1,"Sa cawacasa'y ipinagbigay alam ni Andeng, na nacahanda na ang sabaw upang matanggap ang doo'y ilalag...",23
pinagtatalicupan,1,"Nanhic, ng magcagayon, ang nagbibinata ng anak ng mangingisda, sa pabahay ng baclad, na na sa dakong...",23
Lasciate,1,"Nanhic, ng magcagayon, ang nagbibinata ng anak ng mangingisda, sa pabahay ng baclad, na na sa dakong...",23
ch'entrate,1,"Nanhic, ng magcagayon, ang nagbibinata ng anak ng mangingisda, sa pabahay ng baclad, na na sa dakong...",23
culong,1,"Yao'y isang culong na may mga isang metro ang luang, na ang pagcacaanyo'y macatitindig ang isang tao...",23
pagcacaanyo'y,1,"Yao'y isang culong na may mga isang metro ang luang, na ang pagcacaanyo'y macatitindig ang isang tao...",23
macatitindig,1,"Yao'y isang culong na may mga isang metro ang luang, na ang pagcacaanyo'y macatitindig ang isang tao...",23
naglulucsuhan,1,Nangagmamasid ng di cawasa ang lahat: nakikinikinita na ng ibang nangagpapalagan at naglulucsuhan an...,23
lumulucsong,1,"Gayon man, ng isisilid ng binata ang lambat ay walang ano mang lumulucsong isda....",23
nacapamuti,1,kahi't isang isda man lamang ay walang nacapamuti sa lambat; sa pagcahulog ng masaganang patac ng tu...,23
pagcahulog,1,kahi't isang isda man lamang ay walang nacapamuti sa lambat; sa pagcahulog ng masaganang patac ng tu...,23
pagcabigo,1,""" ng pagtataca, ng sama ng loob, ng pagcabigo ang tumacas sa mga labi ng lahat....",23
casirasira,1,Ngunit walang casirasira ang lambat....,23
pagcapandaw,1,"Niyong araw na bago mag ""Todos los Santos"" ang cahulihulihang pagcapandaw nito....",23
macacahuli,1,—Kung gayo'y o encantado ang dagatan o macacahuli ako ng kahi't iilan....,23
nababaluctot,1,"Iya'y siya na nagpupumiglas, datapwat siya'y nababaluctot; ¡hintay kayo ...! malaki: may isang dangc...",23
calaliman,1,Sino ma'y walang humahandog na sumisid sa calaliman....,23
pinacabatalan,1,"Nagtindig ang piloto, cumuha ng isang mahabang lubit at malicsing pumanhic sa pinacabatalan ng bacla...",23
Ipinagcaloob,1,Ipinagcaloob ni Leong ang piloto'y siyang humalili sa canyang kinalalagyan....,23
Magcacasacuna,1,—¡Magcacasacuna tayo!...,23
pinacauban,1,"Malaking buaya iyon, na gaya na nga ng ibinalita na ni Leon may mga pinta, at sa ibabaw ng canyang l...",23
nacacagunitang,1,Nag-iisa ang piloto sa paghila sa buaya sa itaas: walang nacacagunitang sa kanya'y tumulong....,23
tinapacan,1,"Nang wala na sa tubig at ng mailagay na sa ibabaw ng batalan, tinapacan ng piloto ang buaya ng canya...",23
tinicom,1,"Nang wala na sa tubig at ng mailagay na sa ibabaw ng batalan, tinapacan ng piloto ang buaya ng canya...",23
Tinicman,1,"Tinicman ng buaya ang huling pagpipiglas, ibinalantoc ang catawa't saka ipinalo sa batalan ang malac...",23
ibinalantoc,1,"Tinicman ng buaya ang huling pagpipiglas, ibinalantoc ang catawa't saka ipinalo sa batalan ang malac...",23
pagcacawala'y,1,"Tinicman ng buaya ang huling pagpipiglas, ibinalantoc ang catawa't saka ipinalo sa batalan ang malac...",23
nacaladcad,1,"Tinicman ng buaya ang huling pagpipiglas, ibinalantoc ang catawa't saka ipinalo sa batalan ang malac...",23
nagpapasuco,1,"Tinicman ng buaya ang huling pagpipiglas, ibinalantoc ang catawa't saka ipinalo sa batalan ang malac...",23
nagcapanahong,1,Matuling tulad sa lintic ay biglang nahulog sa tubig ang isang katawan; bahagya na sila nagcapanahon...,23
guloc,1,"Lumucso sa malalim na tubigang binatang mangingisda na hawac ang canyang guloc, sumunod sa kanya ang...",23
nacasisisid,1,"Lumucso sa malalim na tubigang binatang mangingisda na hawac ang canyang guloc, sumunod sa kanya ang...",23
sumulac,1,Nalimutan ni Andeng na macaatlo ng sumulac ang canyang sinigang: nabubo ang lahat ng sabaw at namata...,23
tutucsuhin,1,"—Totoong masulong po kayo sa panganib,—ang sa kanya'y isinagot ni Ibarra;—uli-uli huwag po ninyong t...",23
nacasama,1,Kailan ma'y hindi ko makitang siya'y nacasama ng lubhang maraming mga buayang malimit na pasasimbaha...,23
afinacion,1,"Muling tumunog ang musica: tumutugtog si Iday ng arpa, at ang mga lalaki nama'y mga acordeon at mga ...",23
kinacamot,1,"Muling tumunog ang musica: tumutugtog si Iday ng arpa, at ang mga lalaki nama'y mga acordeon at mga ...",23
caguinsaguisa'y,1,"Muling tumunog ang musica: tumutugtog si Iday ng arpa, at ang mga lalaki nama'y mga acordeon at mga ...",23
cailanis,1,Pinaroonan ang cabilang baclad na may malaking pag-aalinlangan; marami ang umaasang naroroon doon an...,23
escabeche,1,"¡Mabuting isigang ang ""ayungin""; pabayaan ninyo ang ""biya"" at ng magawang ""escabeche"", ipasa ninyo a...",23
cawali,1,"¡Ilagay ninyo ang mga ""sugpo"" sa cawali!...",23
banac,1,"Ucol na iihaw ang ""banac"" na may camatis sa tiyan, at nacabalot sa dahon ng saguing....",23
calamanlaman,1,"Hindi magaling na pabayaang ang walang calamanlaman ang baclad,—ang idinugtong....",23
cutya,1,Umaalingawngaw sa alang-alang ang musica; napaimbulog ng boong casayahan ang usoc ng mga calang ang ...,23
wacwac,1,Umaalingawngaw sa alang-alang ang musica; napaimbulog ng boong casayahan ang usoc ng mga calang ang ...,23
pagcacalagay,1,"Tila mandin nawal-an ng ganang cumain ang carapatdapat na cura, dahil sa pagcabasa ng ilang sulat na...",24
nacahahabag,1,Tunay nga namang nacahahabag tingnan si pari Salvi....,24
Cebu,1,"Hindi man lamang sinalang ang pangalawang taza ng chocolate, hindi tinicman man lamang ang mga hojal...",24
nacapamamanglaw,1,"Hiningi, sa cawacasan, ang canyang ""coche"", nag-ayos at saka nag-utos na siya'y ihatid sa gubat na k...",24
nangagcacatuwa,1,"Hiningi, sa cawacasan, ang canyang ""coche"", nag-ayos at saka nag-utos na siya'y ihatid sa gubat na k...",24
malacucong,1,Isang mapanglaw na landas na bahagya na nabucsan sa casucalan ang pinagdaraanang patungo sa isang ba...,24
nagcacasabitsabit,1,"Ang tunog ng pagaspas ng mga maliliit na mga hayop na ito, ang irit ng yayay na nag-iingay sa araw a...",24
nacayayayat,1,"—¡Mag-ingat ka, sa pagka't nacayayayat at nacapagpapalalim ng mga mata ang panibugho!...",24
nacapagpapalalim,1,"—¡Mag-ingat ka, sa pagka't nacayayayat at nacapagpapalalim ng mga mata ang panibugho!...",24
magcacailangang,1,"Ang lalong magaling, kung macacasumpong tayo ng pugad, ay ating ""iregalo"" sa cura, at sa gayo'y cany...",24
Nacapagpahakhak,1,Nacapagpahakhak ng masaya ang gayong alaala sa pagcacolegiala....,24
pagcacolegiala,1,Nacapagpahakhak ng masaya ang gayong alaala sa pagcacolegiala....,24
Nacalugay,1,"Nacalugay ang kanilang buhoc at hubad ang kanilang mga bisig, at natatacpan ang katawan ng isang bar...",24
Acteon,1,Pinanonood ng fraileng Acteon na namumutla at hindi cumikilos ang mahinhing Dianang iyon; ang mga ma...,24
masucal,1,"Sa licod ng isang pag-lico sa ilat, sa gitna ng masucal na cawayanan; nangawala ang mga matitimyas n...",24
pagcacabacod,1,"Nakita niya sa malayo-layo roon, sa gitna ng batis, ang isang wari'y paliguang magaling ang pagcacab...",24
pinacabubong,1,"Nakita niya sa malayo-layo roon, sa gitna ng batis, ang isang wari'y paliguang magaling ang pagcacab...",24
Nacatanaw,1,Nacatanaw naman siya sa daco pa roon ng isang tulay na cawayan at sa dakong malayo'y mga lalaking na...,24
Nangagbubucas,1,"Nangagbubucas ng mga botella ng limonada, nangagbibiyac ng mga niyog na mura at ng ang mga natatapos...",24
nangagbibiyac,1,"Nangagbubucas ng mga botella ng limonada, nangagbibiyac ng mga niyog na mura at ng ang mga natatapos...",24
nacalugay,1,"Nangagbubucas ng mga botella ng limonada, nangagbibiyac ng mga niyog na mura at ng ang mga natatapos...",24
pamumucadcad,1,"Sa cawacasa'y lumabas si Maria Clara sa paliguan, kasama ang canyang mga caibigang babae, sariwang t...",24
naucol,1,"Inihandog niya ang unang ngiti kay Crisostomo, at naucol ang unang pagdidilim ng canyang noo kay par...",24
coadjator,1,"Nangagsiupo sa mesang pinangunguluhan ni Ibarra, ang cura, ang coadjator, ang alferez, ang gobernado...",24
pinacasalamin,1,"—ang tanong ng alferez, na tinitingnan ang fraile, na guinagawang pinacasalamin sa mata ang vaso ng ...",24
Nagcagat,1,Nagcagat-labi ang militar at ibinulong ang isang haling na pagtaliwacas....,24
pagtaliwacas,1,Nagcagat-labi ang militar at ibinulong ang isang haling na pagtaliwacas....,24
cagugulat,1,—Isang cahabaghabag na babaeng pinilit sirain ang isip sa cagugulat at capapahirap!...,24
nangagcaroon,1,"—Ang babaeng iya'y dinakip ng inyo pong mga sundalo,—ang ipinagpatuloy ng sabing may capaitan ng ten...",24
nacacaganti,1,"—anang alferez na casabay ang tawang libac, at natutuwa, dahil sa siya'y nacacaganti,—pagka nawawala...",24
Nagcagayon,1,—Nagcagayon ako't dahil sa ako ang nananagot ng salapi.......,24
nacacahuli,1,—Sa nangyayari'y aking nakikitang bucod sa hindi kayo nacacahuli ng mga gumagawa ng masama'y hindi p...,24
capamahay,1,—Sa nangyayari'y aking nakikitang bucod sa hindi kayo nacacahuli ng mga gumagawa ng masama'y hindi p...,24
nacalubos,1,Ang pagbabalic ng mga alilang nangagsabing hindi nila nasumpungan ang sira ang isip na babae ang siy...,24
pagcapayapa,1,Ang pagbabalic ng mga alilang nangagsabing hindi nila nasumpungan ang sira ang isip na babae ang siy...,24
nagcacagalit,1,Ang pagbabalic ng mga alilang nangagsabing hindi nila nasumpungan ang sira ang isip na babae ang siy...,24
nangagsicuha,1,"Cumuha ang iba ng mga ""tablero"" at ang iba nama'y nangagsicuha ng ""baraja,"" ngunit lalong minagaling...",24
Audienciang,1,"May usapin tayong labing limang taong taon na ngayon ang itinatagal, at walang hucom sa Audienciang ...",24
macahatol,1,"May usapin tayong labing limang taong taon na ngayon ang itinatagal, at walang hucom sa Audienciang ...",24
nangagcapisan,1,"Nang maalaman nila ang gayong paglalaro, nangagcapisan ang lahat ng matatandang lalaking marunong ng...",24
capanahunang,1,"Hinarap ng mga matatandang babae, gayon man, ang cura, upang makipagsalitaan sa kanya tungkol sa mga...",24
cacadakilaan,1,Nagpasimula ang laro ng boong cacadakilaan....,24
calaghatian,1,"Nang na sa calaghatian na ang laro, tumanggap si Ibarra ng isang telegrama na nagpaningning ng canya...",24
macapa,1,"Sa pagka't hindi matacpan ni kapitang Basilio ang ""Reina"" at hindi naman niya maiurong ito, dahil sa...",24
pagcapagcaloob,1,"At nagtindig siya, pagcapagcaloob sa canyang calaban ng icaapat na bahagui ng isang oras upang mag-i...",24
cartong,1,"Tangan ni Iday ang mabilog na cartong kinasusulatan ng apat na po't walong tanong, at si Albino ang ...",24
magcacabait,1,"—Tingnan mo, aking itinanong: ""¿Kailan baga ako magcacabait?...",24
nagcabuhoc,1,""" binitiwan ko ang mga ""dado"", at ang ginawa niyang curang iyang bantilaw ay binasa sa libro ang gan...",24
palaca,1,""" binitiwan ko ang mga ""dado"", at ang ginawa niyang curang iyang bantilaw ay binasa sa libro ang gan...",24
Pinagcayarian,1,"—ang sinabi nila kay Ibarra, casabay ng paghahandog sa kanya ng ""rueda""—Pinagcayarian naming kung si...",24
Nacatanong,1,Nacatanong na caming lahat....,24
conglinalayon,1,"Tumanong: ""¿Lalabas ba ng magaling ang casalucuyan conglinalayon?...",24
Napacapangit,1,—¡Napacapangit naman ng tanong na iyan!...,24
binubuclatbuclat,1,"—ang sa cawacasa'y naitanong ng cura, at kinuha ang libro at canyang binubuclatbuclat....",24
nacaw,1,"—Amang cura, nacaw ang tawag sa ganyang gawa at ito'y bawal ng Dios at ng mga tao....",24
pagcapagbigay,1,"Sa malaking catuwaan ni Ibarra, sa pagcapagbigay niya sa canyang maguiguing asawang si Maria Clara n...",24
nacapagsasangalang,1,"Dahil sa ganito'y ang nangyari, baga man si kapitang Basilio'y bahagya ng nacapagsasangalang, ang la...",24
nagcapantay,1,"Dahil sa ganito'y ang nangyari, baga man si kapitang Basilio'y bahagya ng nacapagsasangalang, ang la...",24
pagcacamaling,1,"Dahil sa ganito'y ang nangyari, baga man si kapitang Basilio'y bahagya ng nacapagsasangalang, ang la...",24
Nangagcamay,1,Nangagcamay ang dalawa na nangagpisilan ng boong pagguiguiliwan....,24
ipinagcacatuwa,1,Samantalang ipinagcacatuwa ng mga caharap ang nangyaring ito na nagbibigay wacas sa isang usaping to...,24
magcalaban,1,Samantalang ipinagcacatuwa ng mga caharap ang nangyaring ito na nagbibigay wacas sa isang usaping to...,24
Papuputucan,1,—¡Papuputucan ang cumilos!...,24
capanayam,1,"Tinatangggap namin ng boong cagandahan ng loob ang sino man sa aming mga pagsasaya, at kayo man, kun...",24
calalampas,1,"Tinatangggap namin ng boong cagandahan ng loob ang sino man sa aming mga pagsasaya, at kayo man, kun...",24
pagcawica,1,At pagcawica nito'y tinalicuran siya....,24
tinalicuran,1,At pagcawica nito'y tinalicuran siya....,24
naaangcap,1,—Inyong talastasing naaangcap ang mga anyo't calagayang iyan sa siyam ng bawa't sampong dalisay na f...,24
macatanto,1,—ang tanong ng ilang ibig macatanto ng lihim....,24
maputic,1,Totoong maputic ang daan at sa tabi lamang may makipot na landas na malalakaran ng iisang tao....,24
ipatahac,1,"Sa galit ng alferez ay inacalang siya'y ipatahac, ngunit cumuha ang tao ng caputol na kahoy at pinac...",24
pinacapalopalo,1,"Sa galit ng alferez ay inacalang siya'y ipatahac, ngunit cumuha ang tao ng caputol na kahoy at pinac...",24
lusac,1,"Sinasabi ring ipinagpatuloy daw ng taong iyon ang paglacad ng boong tiwasay, na hindi niya alumana a...",24
caningasan,1,"Pagkatapos ay nanag-uli ang masayang mga salitaang maingay, puspos ng caningasan, sa silong ng mga s...",24
mascara,1,"¡Ilagay ninyo ang inyong ""mascara"", sa pagka't kayo'y makikipanayam na naman sa inyong mga kapatid!...",24
pinanhic,1,"Maingat na itinali ni Ibarra ang canyang kabayo sa isang haligui, siya'y lumacad ng halos patiad ng ...",25
macagambala,1,"Lubhang nalilibang ang matanda sa canyang ginagawa, na ano pa't hindi naino ang pagdating ng binata,...",25
copto,1,"—ang isinagot ng matandang lalaki, at tuloy nag-alay sa kanya ng isang ""silla"";—hindi nacacawatas ak...",25
pagcacaguhit,1,"Madaling madaling siniyasat ang aclat, sa pagka iibig niyang maalaman kung nagsisinungaling, at cany...",25
egipciong,1,"Taglay ang mga ""vocal"" ng dating ""alfabeto egipcio""; ang ating o na pangwacas na vocal na na sa cala...",25
macapaglilingcod,1,"Datapwat kayo po'y aking linilibang sa mga bagay na ito, at hindi ko itinatanong sa inyo kung sa paa...",25
Cumalat,1,Cumalat kahapon sa bayan yaong nangyari sa buwaya....,25
napacapangahas,1,Kung gaano ang catalasan ng isip ng Musa ng Guardia Civil ay gayon din ang catampalasanan ng canyang...,25
doncella,1,"Kinacailangang naging ""doncella"" o naging ina, minsan man lamang, upang gumaling ang isang babae....",25
calalabasan,1,May casalucuyan akong isang munting gawain ibig kong papagtibayin ang magandang calalabasan....,25
pinagbabalac,1,"At sinabi ni Ibarra sa matandang lalaki sa maicling pananalita, ang pinagbabalac na escuelahang cany...",25
nagtatacang,1,"At sinabi ni Ibarra sa matandang lalaki sa maicling pananalita, ang pinagbabalac na escuelahang cany...",25
ibalic,1,sa araw na ibig nilang ibalic sa aking boo ang sira kong isip; sa araw na iya'y aalsan ako ng caunti...,25
nacapagpalaki,1,"""Matalas ang pag-iisip ng taong iyan"" ang inaacala ng mga hangal; ""tingnan ninyo't sa walang ano ma'...",25
pinagcatiwalaan,1,""" Datapwat akong nagmana ng cayamanan, mga pagka-alang-alang ng capuwa, ako'y nag-aral, ngayo'y isan...",25
sinactan,1,Mula sa unang araw ng inyong pagdating dito'y inyong sinactan ang calooban ng isang fraileng cabalit...,25
pangyapac,1,Huwag po ninyong acalaing dahil sa pinawawal-ang halaga ng mga dominico at agustino ang guinggong ha...,25
Inocencio,1,Huwag po ninyong acalaing dahil sa pinawawal-ang halaga ng mga dominico at agustino ang guinggong ha...,25
mangagcacaisa,1,Huwag po ninyong acalaing dahil sa pinawawal-ang halaga ng mga dominico at agustino ang guinggong ha...,25
napacapanganib,1,"—Hindi ako lubhang mapanglawin sa pag-iisip ng mangyayari sa ano mang bagay, at sa ganang akin ay hi...",25
napacalampas,1,"—Inaacala kong napacalampas naman ang mga tacot na iyan, at umaasa akong aking magagawa ang aking mg...",25
macagayo'y,1,Casucatan na upang madurog na lahat ang inyong mga pagsusumicap sa mga pader ng bahay ng tinatahanan...,25
macapanghihina,1,Casucatan na upang madurog na lahat ang inyong mga pagsusumicap sa mga pader ng bahay ng tinatahanan...,25
magpapanucala,1,Casucatan na upang madurog na lahat ang inyong mga pagsusumicap sa mga pader ng bahay ng tinatahanan...,25
pinacalabis,1,"—Baga man sa inyong sabi,—ang tugon ng binata, hindi ako macapaniwala sa capangyarihang iyang sinabi...",25
nacaririnig,1,—Baga man tunay na magcaroon ng maningas na nasang padakilain ang lupaing ito sa icagagaling ng mga ...,25
pagcatumba,1,—Baga man tunay na magcaroon ng maningas na nasang padakilain ang lupaing ito sa icagagaling ng mga ...,25
Tinatacot,1,"Tinatacot ang Gobierno sa panghihimagsik ng bayan, at tinatacot ang bayan sa mga hucbo ng Gobierno: ...",25
tinatacot,1,"Tinatacot ang Gobierno sa panghihimagsik ng bayan, at tinatacot ang bayan sa mga hucbo ng Gobierno: ...",25
macawawala,1,"Hindi macawawala ang Gobierno sa pananalima sa mga fraile, samantalang hindi siya nakikipag-alam sa ...",25
pinacasusuyo,1,"Hindi macawawala ang Gobierno sa pananalima sa mga fraile, samantalang hindi siya nakikipag-alam sa ...",25
linacbay,1,Kung hindi'y inyo pong isumag ang anyo ng pamamahala sa atin ng ating Pamunuan sa mga ibang lupaing ...,25
mapapacalabis,1,"—ang isinalabat ni Ibarra,—mapapacalabis naman ang mga cahingiang iyan; magcasiya na lamang tayo sa ...",25
cahingiang,1,"—ang isinalabat ni Ibarra,—mapapacalabis naman ang mga cahingiang iyan; magcasiya na lamang tayo sa ...",25
nagcacahirap,1,"—ang isinalabat ni Ibarra,—mapapacalabis naman ang mga cahingiang iyan; magcasiya na lamang tayo sa ...",25
napacaraming,1,"¡Pagka naliwanagan ng sicat ng araw ang carumaldumal na anak ng mga cadiliman, kung magcagayo'y dara...",25
camandag,1,"¡Pagka naliwanagan ng sicat ng araw ang carumaldumal na anak ng mga cadiliman, kung magcagayo'y dara...",25
icacailang,1,"Tunay nga't may mga capaslangang nagagawa, hindi ko rin naman icacailang siya'y may mga caculangan; ...",25
nagbabalac,1,"Tunay nga't may mga capaslangang nagagawa, hindi ko rin naman icacailang siya'y may mga caculangan; ...",25
pagcapanucala,1,"Hindi nasasalansa ng isang tadhana ng hari ang mga gawang lisya ng mga namiminuno, samantalang hindi...",25
capaslanga'y,1,"Hindi nasasalansa ng isang tadhana ng hari ang mga gawang lisya ng mga namiminuno, samantalang hindi...",25
nacatupad,1,"Hindi nasasalansa ng isang tadhana ng hari ang mga gawang lisya ng mga namiminuno, samantalang hindi...",25
magcatiwala,1,"Hindi lamang ito, sacali't pumarito ang isang ginoong may mataas na catungculang may taglay na mga d...",25
marupoc,1,"Hindi lamang ito, sacali't pumarito ang isang ginoong may mataas na catungculang may taglay na mga d...",25
magcahirap,1,Nadidilidili naman ng camahalan niyang kinailangang siya'y magpatulo ng maraming pawis at magcahirap...,25
macapagbuhay,1,Nadidilidili naman ng camahalan niyang kinailangang siya'y magpatulo ng maraming pawis at magcahirap...,25
maipangaco,1,Alin man dito'y wala tayong maipangaco sa pumaparito upang mamanihala ng ating capalaran....,25
pagcaunawa,1,At ang lalo pang kasamasamaan sa lahat ay nangagsisi-alis pagka nagpapasimula na ng pagcaunawa ng ka...,25
magcaayos,1,Diyata't ¿hindi nga kaya mangyayaring magcaayos ang pagsinta sa aking tinubuang lupa at ang pagsinta...,25
magpacaimbi,1,"¿Kinacailangan bagang magpacaimbi upang maguing magaling na binyagan, papangitin ang sariling budhi ...",25
pinapacacautangan,1,"Sinisinta ko ang aking tinubuang lupa, ang Filipinas, sa pagka't siya ang pinapacacautangan ko ng bu...",25
Hagcan,1,—¡Hagcan!...,25
macayari,1,"Humihingi ang panucala ninyo na ang ibang tao ang gumawa, sa pagka't upang mayari, hindi lamang sala...",25
