token,frequency,capitalized_count,pattern_match,modern_suggestion,confidence,auto_action,sample_contexts
Descartes,1,1,C_TO_K,Deskartes,MEDIUM,REVIEW,"['112: Sa pulutong ng mga talogigi, si Tadeo, ang nagkakasakit kung pumapanaog ang guro, ay kaakbay ng kaniyang kababayang baguhan na namalas nating nagtiis ng inianak ng masamang pagkakabasa sa katotohanang sinabi ni Descartes.']"
quinto,1,0,QU_TO_K,kinto,HIGH,REVIEW,"['116: yao’y isang bulagbul, isang oficial quinto, isang taong walang gaanong kabuluhan!']"
palco,1,0,C_TO_K,palko,HIGH,REVIEW,['172: Binigyan sila nito ng isang palco at lalo pa manding kuba kay sa karaniwan.']
Balcon,1,1,C_TO_K,Balkon,MEDIUM,REVIEW,"['189: —Hindi, tao ka, ang mga pangalan niyan ay mga binibini ni Balcon, mga mapamintas, mga matatandang dalaga, mamumula....']"
Parca,1,1,C_TO_K,Parka,MEDIUM,REVIEW,"['192: Sa likod ng mga Parca, na panakot sa bayan, ay dumarating ang tatlong iyan, na ipinagmamalaki ng kanilang mga kaibigang kinabibilangan ko.']"
Caton,1,1,C_TO_K,Katon,MEDIUM,REVIEW,['43: —ang tugon na wari’y isang Caton na nasisiyahan sa sariling budhi.']
cabecera,1,0,C_TO_K,kabecera,HIGH,REVIEW,"['60: Datapwa’y hindi makapangahas na bigyan siyang katwiran ng mga hukom pamayapa sa bayan at nang nasa cabecera, dahil sa natatakot maalis sa katungkulan, sapagka’t nadadala na dahil sa isang kaagad-agad ay inalis.']"
caracter,1,0,C_TO_K,karacter,HIGH,REVIEW,"['12: Ang Buena Tinta ay galing sa kaniyang pakikipagkaibigan kay Ben-Zayb, nang ito, sa dalawang matunog na pakipagtunggali na inabot ng buwanan at lingguhan sa mga tudling ng pahayagan ukol sa kung nararapat o hindi gumamit ng sombrerong hongo, de copa o salakot, at kung ang paggamit ng ukol sa marami ng salitang caracter ay dapat maging caracteres at hindi caracteres, upang patibayan ang kaniyang mga pangangatwiran ay lumulusot kailan man sa mga salitang “constanos de buena tinta”, “lo sabemos de buena tinta” at iba pa.']"
Compañia,1,1,C_TO_K,Kompañia,MEDIUM,REVIEW,['116: Ang pinakamatalas sa lahat ay ang pusakal na pagingera na si Hermana Bali na nanirahan sa Maynila upang mag ejercicio sa beaterio ng La Compañia.']
suob,1,0,UO_TO_O,sob,MEDIUM,REVIEW,['12: Isang amoy suob at pagkit ay siya pang nakapagpaparagdag sa gayon.']
kasuotang,1,0,UO_TO_O,kasotang,MEDIUM,REVIEW,"['24: Ang ipinangtatawid kagutuman niya ay mga bungang kahoy ng mga kagubatang kaniyang pinagtataguan kailan ma’t nakakatanaw ng suot guardia sibil, kasuotang nakapagpapaalaala ng pinagbuhatan ng kaniyang mga kasawian.']"
retorica,1,0,C_TO_K,retorika,HIGH,REVIEW,['101: —ang bulalas ng abogado na ikinumpay ng palikawlikaw sa hangin ang kamay na waring ibig bugawin ang mga paghahakang nabanggit—upang maging mabuting mang-aani ay hindi kailangan ang maraming retorica.']
aguinaldo,1,0,GUI_TO_GI,aginaldo,HIGH,REVIEW,"['42: Gaya ng maaantay ay hindi kasama ang kura, matapos ang kaniyang ginawa: nang taong iyon ay masama ang loob, sa dahilang kinailangan niyang gamitin ang boo niyang katalinuhan at pananalitang pasilosilo upang ang mga taong bayan ay magbayad ng tatlong pung piso sa bawat isang “misa de aguinaldo” at hindi dalawang pu na gaya nang dating halaga.']"
chaleco,1,0,C_TO_K,chaleko,HIGH,REVIEW,"['53: Isang araw, sa misa, ang kapitan sa naturales na nakaupo sa bangkong nasa dakong kanan at lubhang payat, ay nakaisip na pagpatungin ang kaniyang mga paa, na anyong nonchalant, upang lumakilaki sa wari ang kaniyang mga pigi at maipamalas ang kaniyang mainam na sapatos; ang sa mestiso namang naluluklok sa kabilang ibayo, sa dahilang may juanete at hindi mapagpatong ang paa dahil sa katabaan at buyunin ay umanyo namang ibinikaka ang kaniyang mga hita upang malantad ang tiyang nakukulong ng isang chaleco na walang kakuton kuton na napapalamutihan ng isang magandang tanikalang ginto at brilyante.']"
Quiroga’y,1,1,QU_TO_K,kiroga’y,MEDIUM,REVIEW,['115: Si Quiroga’y nagulumihanan.']
Carpio,1,1,C_TO_K,Karpio,MEDIUM,REVIEW,"['23: Tinatawag siyang Bernardo ng mga tagalog, nang hindi maalaman kung bakit, marahil ay pinagkakamalang siya ang Bernardo del Carpio.']"
escultura,1,0,C_TO_K,eskultura,HIGH,REVIEW,"['64: Pinag-uusapan ang tuntunin ng Arte, humahanap ng pagkakatimbangtimbang ng laki, ang sabi ng isa’y walang pitong ulo ang larawang gayon, na ang mukha’y kulang ng isang ilong, wala kundi tatatlo, bagay na ikinapag-isip ng kaunti ni Padre Camorra na di makahulong kung bakit, upang maging ayos ang isang larawan ay, dapat magkaroon ng apat na ilong at pitong ulo; anang isa’y kung bakit malitid, sa, ang mga indio ay hindi gayon; na kung yaon ay matatawag na escultura o carpinteria lamang, at iba pa.']"
carpinteria,1,0,C_TO_K,karpinteria,HIGH,REVIEW,"['64: Pinag-uusapan ang tuntunin ng Arte, humahanap ng pagkakatimbangtimbang ng laki, ang sabi ng isa’y walang pitong ulo ang larawang gayon, na ang mukha’y kulang ng isang ilong, wala kundi tatatlo, bagay na ikinapag-isip ng kaunti ni Padre Camorra na di makahulong kung bakit, upang maging ayos ang isang larawan ay, dapat magkaroon ng apat na ilong at pitong ulo; anang isa’y kung bakit malitid, sa, ang mga indio ay hindi gayon; na kung yaon ay matatawag na escultura o carpinteria lamang, at iba pa.']"
Porque,1,1,QU_TO_K,Porke,MEDIUM,REVIEW,['95: —¿Porque ba no di podi nisos entra?']
cafe,1,0,C_TO_K,kafe,HIGH,REVIEW,"['154: Makaraan ang dalawang oras ay nilisan ni Placido ang bahay ng mag-aalahas at walang imik at nagiisip na lumakad sa Escolta, na wala nang katao tao kahit na masaya pa rin ang mga “cafe”.']"
comandante,1,0,C_TO_K,komandante,HIGH,REVIEW,"['2: Siya’y nabalam ng ilang oras sa kaniyang lakad sapagka’t nahuli ng guardia sibil ang kutsero na nakalimot magtaglay ng sedula personal at dinala sa kuartel upang iharap sa comandante, matapos mabigyan ng ilang halibas ng kulata.']"
Curioso,1,1,C_TO_K,Kurioso,MEDIUM,REVIEW,['98: —¡Curioso tambien el mana prailes!']
quiere,1,0,QU_TO_K,kiere,HIGH,REVIEW,['99: —ang sabi ng boses babae—¡no quiere pa que di sabe nisos cuando ilos ta sali ingañau!']
Cosa,1,1,C_TO_K,Kosa,MEDIUM,REVIEW,['100: ¡Cosa!']
querida,1,0,QU_TO_K,kerida,HIGH,REVIEW,['101: ¿querida ba de prayle el cabesa?']
invocat,1,0,C_TO_K,invokat,HIGH,REVIEW,"['112: Ang mga matang iyon ay may matalas na ningning na nararagdagan pa ng kaniyang mga panglook, at sa dahilang abyssus abyssum invocat, ang mga matang iyon ay napatitig sa mga malalalim at nangangalong mata ni Padre Salvi na dilat na dilat na wari’y nakakikita ng isang multo.']"
canonigo,1,0,C_TO_K,kanonigo,HIGH,REVIEW,"['17: Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kalipon, at dapat nga namang magkagayon, sapagka’t tignan nga naman ninyo: magkalipon doon ang tatlong prayleng nananalig na ang buong mundo’y lalakad ng patiwarik sa araw na sila’y lumakad ng matuwid; isang walang pagal na Don Custodio na payapang natutulog, na siyangsiya ang loob sa kaniyang mga munakala; isang walang pagod na manunulat na gaya ni Ben-Zayb (katimbang ng Ibañez) na nag-aakalang kung kaya’t may nag-iisip sa Maynila ay sa dahilang siya’y nag-iisip; isang canonigo na gaya ni Padre Irene na nagbibigay dangal sa mga pari dahil sa mabuti ang pagkakaahit ng kaniyang mukhang kinatatayuan ng isang ilong hudio at dahil sa kaniyang sotanang sutla na mainam ang tabas at maraming botones; at isang mayamang mag-aalahas na gaya ni Simoun na siya manding tanungan at nag-uudyok sa mga galaw ng Kapitan General; akalain nga ba namang magkatatagpo ang mga haliging ito na sine quibus non ng bayan, magkapipisan doon at maligayang nag-uusap, na hindi nabibighaning malugod sa isang tumakwil sa pagkapilipina, na nagpapula ng buhok, ¡bagay ng sukat makabugnot sa isang Joba!']"
Ruolz,1,1,UO_TO_O,Rolz,MEDIUM,REVIEW,"['61: Ang pagparoon sa Hongkong ay gumising sa kaniya ng isang alaala, isang kasaysayan ng mga kagayakang pamukha ng dambana, mga ciriales at mga titirikan ng kandila na pawang pilak na inihandog sa isang simbahan ng kabanalan ng mga mapanampalataya; anang isang platero, ay nagpagawa sa Honkong ang mga prayle ng ibang kagayakan sa dambana, mga ciriales at mga titirikan ng kandila na pawang pilak na Ruolz na siyang ipinalit sa mga tunay na pilak na ipinatunaw at ipinagawang pisong mehikano.']"
Cuba,1,1,C_TO_K,Kuba,MEDIUM,REVIEW,"['94: Nakilahok sa himagsikan sa Cuba, na tinulungan ang magkabilang pangkat, ngunit saan man, siya’y nakikinabang.']"
